name,location_desc,county,size,lat,lon
Birch Creek,Lost River Drainage,"Butte, Clark, Lemhi",46 mi.,42.228248,-111.7249543
Bird Canyon,Tributary of Unnamed Stream,Butte,3.1 mi.,45.7581549,-116.3077287
Bishop Lake,Tributary of Porcupine Canyon,Fremont,17.1 acres,44.384916,-111.5863491
Bitch Creek,Tributary of Teton River,"Fremont, Teton",21.4 mi.,43.972968,-111.0910356
Black Canyon,Tributary of Warm Spring Creek,Butte,4.9 mi.,43.9246252,-116.4457813
Black Canyon,Tributary of Warm Creek,Clark,2.1 mi.,43.9246252,-116.4457813
Black Creek,Tributary of Little Lost River,Butte,7 mi.,48.5926168,-116.2497907
Black Creek,South Fork Drainage,Bonneville,2.2 mi.,48.5926168,-116.2497907
Blacktail Creek,Tributary of South Fork Canyon Creek,Teton,2.9 mi.,45.8173615,-116.2037229
Blacktail Creek,Tributary of Willow Creek,Bonneville,5.4 mi.,45.8173615,-116.2037229
Blaze Canyon,Tributary of Big Lost River,Custer,2.6 mi.,43.7297802,-116.5760468
Blind Canyon,Tributary of Scott Canyon,Lemhi,3 mi.,43.3494374,-116.6048599
Blind Creek,Tributary of Myers Creek,Fremont,2.5 mi.,44.2907184,-114.738039
Blind Creek,Tributary of North Fork Big Lost River,Custer,5 mi.,44.2907184,-114.738039
Blue Creek,Mud Lake Drainage,Clark,8.4 mi.,44.1415275,-111.3494589
Blue Creek,Unknown Drainage,-,null acres,44.1415275,-111.3494589
Blue Creek,Snake River Drainage,Bonneville,1.7 mi.,44.1415275,-111.3494589
Blue Creek,Tributary of Henrys Fork Snake River,Fremont,4.5 mi.,44.1415275,-111.3494589
Blue Creek,Tributary of Hotel Creek,Fremont,7.8 mi.,44.1415275,-111.3494589
Blue Creek Reservoir,Tributary of Blue Creek,Fremont,8.4 acres,44.2238026,-111.6116272
Blue Jay Canyon,Tributary of Pass Creek,Custer,1 mi.,43.6175896,-116.4970985
Boone Creek,Lost River Drainage,Custer,5 mi.,44.0749599,-111.0590674
Boone Creek,Tributary of East Fork Big Lost River,Custer,6.4 mi.,44.0749599,-111.0590674
Boone Creek,Tributary of Falls River,Fremont,8.8 mi.,44.0749599,-111.0590674
Boulder Creek,Lost River Drainage,Butte,6.8 mi.,46.3237876,-115.254593
Boulder Creek,Tributary of Wildhorse Creek,Custer,3.6 mi.,46.3237876,-115.254593
Boulder Lake,Lost River Drainage,Custer,10.3 acres,43.7979751,-114.1305592
Boulder Lake #1,Lost River Drainage,Custer,2 acres,44.8753591,-116.0254293
Boulder Lake #2,Lost River Drainage,Custer,2.3 acres,44.8753591,-116.0254293
Boundary Creek,Tributary of Bechler River,Fremont,24.8 mi.,48.9983672,-116.6975239
Box Canyon,Tributary of South Fork Snake River,Bonneville,4 mi.,44.3772054,-111.4053412
Box Canyon,Tributary of Rattlesnake Creek,Fremont,2.4 mi.,44.3772054,-111.4053412
Box Canyon Creek,South Fork Drainage,Bonneville,4.4 mi.,45.6111856,-116.2790179
Boyle Creek,Tributary of Big Lost River,Butte,2.8 mi.,42.0265167,-116.1497531
Briggs Canyon,Tributary of Taylor Canyon,Butte,7.3 mi.,43.5311094,-116.5224104
Broad Canyon,Tributary of Star Hope Creek,Custer,5.5 mi.,43.7670603,-113.9977442
Brockie Lake,Tributary of Right Fork Iron Bog Creek,Custer,7.2 acres,43.6896572,-113.8512287
Brockman Creek,Tributary of Grays Lake Outlet,Bonneville,17.3 mi.,43.2133348,-111.4142376
Buck Creek,Tributary of Mill Creek,Bingham,2.8 mi.,46.6002241,-115.9936647
Buckhorn Canyon,Tributary of Nicholia Canyon,"Clark, Lemhi",3.4 mi.,44.24839,-112.7293821
Buffalo Lake,Henry's Fork Drainage,Fremont,12.9 acres,44.3289309,-111.0736304
Buffalo River,Tributary of Henrys Fork Snake River,Fremont,8.7 mi.,44.4380181,-111.3308846
Bull Creek,Tributary of Sawmill Creek,Custer,2.5 mi.,45.4940701,-115.7088479
Bunkhouse Creek,Tributary of Icehouse Creek,Fremont,1.5 mi.,46.127457,-114.9166314
Burgess Canal,Tributary of Snake River,"Bonneville, Jefferson",19.3 mi.,43.6426863,-112.0131612
Burns Creek,Tributary of Salt River,Bonneville,5.1 mi.,43.134914,-111.0505851
Burnt Creek,Tributary of Big Lost River,Custer,4.6 mi.,45.9471775,-116.5591987
Butcher Creek,Tributary of East Fork Big Lost River,Custer,2.9 mi.,45.9643794,-116.0470159
Cabin Creek,Lost River Drainage,Butte,1.7 mi.,48.5719482,-116.2423941
Cabin Creek,South Fork Drainage,Bonneville,1.9 mi.,48.5719482,-116.2423941
Cabin Creek,South Fork Drainage,Bonneville,2.3 mi.,48.5719482,-116.2423941
Cabin Creek,Tributary of East Fork Big Lost River,Custer,7.3 mi.,48.5719482,-116.2423941
Cabin Fork,Tributary of Cedarville Canyon,Butte,6.4 mi.,45.1935621,-114.9206959
